AbiBL,AbiLand,Abinote,BFI_K_1,BFI_K_11,BFI_K_12,BFI_K_13,BFI_K_14,BFI_K_16,BFI_K_17,BFI_K_18,BFI_K_19,BFI_K_2,BFI_K_3,BFI_K_4,BFI_K_6,BFI_K_7,BFI_K_8,BFI_K_9,BM_Inf_1,BM_Inf_10,BM_Inf_14,BM_Inf_15,BM_Inf_17,BM_Inf_18,BM_Inf_2,BM_Inf_3,BM_Inf_4,BM_Inf_6,BM_Inf_8,BM_Inf_9,GK_Inf,Ktyp_exp,Ktyp_psych,Kurs_Inf,LK_Inf,LK_Mat,LK_Phy,LMI_1,LMI_10,LMI_11,LMI_12,LMI_13,LMI_14,LMI_15,LMI_16,LMI_17,LMI_18,LMI_19,LMI_2,LMI_20,LMI_21,LMI_22,LMI_23,LMI_24,LMI_25,LMI_26,LMI_27,LMI_28,LMI_29,LMI_3,LMI_30,LMI_4,LMI_5,LMI_6,LMI_7,LMI_8,LMI_9,Note_MfI1_20182_T01,Note_MfI1_20182_T02,Note_Prog1_20182_T01,Note_Prog1_20182_T02,MfI1_beste,Prog1_beste,beste,MfI1_bestanden,Prog1_bestanden,beste_bestanden,beide,Prog1_scaled,SKInf_1,SKInf_2,SKInf_3,SKInf_4,SKMat_1,SKMat_2,SKMat_3,SKMat_4,Semester,Std_Inf,Xp1,Xp2,Xp3,Xt1,Xt2,Xt3,Xtt3,mean_BFI_K_E,mean_BFI_K_G,mean_BFI_K_N,mean_BFI_K_V,mean_LMI,mean_SKInf,mean_SKMat,sex,stg_Bioinf,stg_CKT,stg_Cyber,stg_ES,stg_Inf,stg_InfNeben,stg_MathInf,stg_Medieninf
1,1,1.8,2,2,2,3,4,2,2,5,2,1,2,4,2,4,1,2,4,4,2,1,1,3,3,4,3,4,2,4,2,2,2,4,1,1,2,7,3,6,6,6,5,5,4,3,7,6,6,5,6,4,7,6,7,5,6,7,3,3,6,3,5,3,7,7,4,500,400,600,400,400,400,400,0,0,0,2,364.41321217812,5,4,4,3,5,4,5,5,2,3,,,,,,,,2,2.75,3,2.25,5.26666666666667,4,4.75,1,0,0,0,0,1,1,0,0
1,1,1.8,2,4,4,4,4,2,4,2,3,4,4,2,3,1,4,2,4,4,4,3,2,2,4,4,3,4,3,3,2,16,16,2,2,2,2,5,7,5,6,7,6,2,6,6,4,4,4,3,5,5,4,4,6,4,5,6,6,6,4,5,6,6,3,6,6,200,600,100,600,200,100,100,0,0,0,2,124.043025059752,5,5,5,5,5,5,5,5,2,0,,,,,,,,2.75,3.5,2.75,3.25,5.06666666666667,5,5,2,0,0,1,0,0,0,0,0
8,1,1.8,3,4,2,3,3,4,5,4,5,4,4,3,4,4,1,1,4,4,2,3,1,2,3,3,2,3,3,4,2,16,16,0,2,1,2,6,7,6,7,6,6,4,7,5,3,6,6,4,7,7,5,3,5,6,6,6,6,6,6,3,7,6,4,6,5,500,500,600,500,500,500,500,1,1,1,0,444.536607884242,5,5,2,4,7,6,5,6,2,0,,,,,,,,3.75,3,3,3.75,5.56666666666667,4,6,2,0,0,0,0,1,0,0,0
11,1,1.8,3,3,2,2,4,3,2,4,2,4,4,3,4,5,3,2,4,4,4,4,2,3,4,3,3,4,2,2,2,16,16,1,2,1,2,6,6,6,6,5,7,4,6,4,5,4,5,5,5,6,6,4,6,6,4,5,6,4,7,3,6,5,5,4,4,400,300,170,300,300,170,170,0,0,0,2,180.129402054054,5,5,4,5,6,6,5,6,2,0,,,,,,,,3.25,3.25,2.75,3.25,5.16666666666667,4.75,5.75,2,0,0,1,0,0,0,0,0
11,1,1.8,5,1,4,4,4,5,3,5,3,2,5,4,5,3,4,1,3,2,3,2,1,2,3,2,3,4,2,2,2,10,14,0,2,2,2,6,3,4,3,6,6,6,4,6,6,5,6,3,6,4,6,5,6,3,6,4,5,2,6,5,5,2,7,5,5,500,500,500,500,500,500,500,1,1,1,0,444.536607884242,2,2,3,1,5,4,5,5,2,0,,,,,,,,4,4.5,3,3,4.86666666666667,2,4.75,2,0,0,0,1,0,0,0,0
16,1,1.8,4,2,2,3,4,5,5,3,2,5,4,3,4,3,2,2,3,4,3,4,1,2,3,4,3,3,3,3,2,4,8,0,2,1,2,2,4,4,5,5,6,1,5,3,6,3,4,5,6,6,1,3,6,4,6,4,4,4,4,3,6,4,4,6,4,600,600,500,270,600,270,270,600,0,0,1,260.252797760176,5,5,3,3,5,6,4,4,2,0,,,,,,,,3.75,3,2.75,3.75,4.26666666666667,4,4.75,2,0,0,0,0,0,1,0,0
10,1,1.7,2,3,4,5,3,3,4,4,5,4,4,1,4,5,2,2,4,4,3,3,3,3,4,4,4,4,2,4,1,16,16,2.5,2,1,1,7,7,5,7,7,7,5,7,6,5,7,7,7,7,7,5,5,5,6,5,7,7,7,7,5,7,7,5,4,7,500,330,300,330,330,330,330,0,0,0,2,284.289816471997,7,7,7,7,5,5,5,5,2,3,,,,,,,,3,3.75,2.75,4.25,6.23333333333333,7,5,2,0,0,0,0,1,0,0,0
10,1,1.7,2,2,2,4,4,4,4,4,4,3,4,2,4,4,3,1,4,4,4,3,3,3,3,3,3,3,3,3,1,14,10,5,1,2,1,6,5,6,6,6,6,7,5,6,6,6,7,7,6,7,5,5,7,4,5,6,6,3,7,4,6,4,5,6,7,500,370,130,370,370,130,130,0,0,0,2,148.080043771593,6,6,6,6,6,5,5,5,2,4,,,,,,,,3,3.75,2.75,3.25,5.73333333333333,6,5.25,1,0,0,0,0,1,0,0,0
11,1,1.7,3,2,3,4,4,4,2,5,1,3,5,2,4,4,3,2,3,4,2,4,4,3,4,3,3,4,4,4,1,16,16,3,2,1,2,7,6,5,6,6,5,6,5,5,6,4,6,4,6,6,7,5,6,4,5,5,4,5,6,5,5,5,6,5,5,500,330,170,330,330,170,170,0,0,0,2,180.129402054054,7,7,6,7,6,6,6,7,2,4,,,,,,,,3.25,4.25,2.25,3,5.36666666666667,6.75,6.25,2,0,0,1,0,0,0,0,0
11,1,1.7,2,3,2,2,2,3,3,3,3,2,3,2,3,4,2,2,4,4,2,2,2,2,3,2,2,4,3,3,1,16,16,3,2,1,2,5,6,5,5,5,5,5,4,5,6,4,5,5,5,5,3,4,4,4,4,6,5,5,4,4,5,6,4,5,2,330,600,270,600,330,270,270,0,0,0,2,260.252797760176,5,5,5,6,6,7,6,6,2,2,,,,,,,,2.75,2.5,2.25,2.75,4.66666666666667,5.25,6.25,2,0,0,0,0,1,0,0,0
11,1,1.7,1,5,3,3,4,2,5,4,4,3,2,2,3,3,3,2,3,4,3,3,3,3,4,4,3,3,2,3,1,16,16,3,2,1,1,5,7,4,6,7,5,3,7,6,5,5,5,6,6,7,4,3,4,6,5,7,5,6,5,3,6,7,4,6,5,600,270,170,270,270,170,170,0,0,0,2,180.129402054054,6,6,4,6,6,6,6,6,2,2,,,,,,,,2.75,3,3,3.5,5.33333333333333,5.5,6,2,0,0,0,0,1,0,0,0
0,2,1.7,4,2,3,3,4,3,4,4,2,5,2,3,3,1,3,4,3,4,4,3,2,2,4,3,2,3,4,3,2,4,8,0,2,1,1,7,6,4,6,7,5,4,5,5,6,6,5,6,6,5,6,5,6,5,5,6,5,5,5,6,7,4,2,6,4,500,330,500,500,330,500,330,0,1,0,1,308.326835183838,5,6,5,4,5,5,6,4,2,0,,,,,,,,3,3,3.25,3.25,5.33333333333333,5,5,2,0,0,0,0,1,0,0,0
10,1,1.6,3,4,5,4,2,2,4,4,2,2,5,2,4,4,4,2,4,3,2,3,1,2,4,4,2,3,3,3,1,16,16,3,2,1,1,6,7,6,7,7,5,7,7,6,4,6,6,6,5,7,6,5,6,6,7,7,6,5,7,4,7,6,5,6,6,370,600,100,600,370,100,100,0,0,0,2,124.043025059752,5,6,3,5,5,6,5,5,2,3,,,,,,,,3.25,4.25,2,3.75,6.03333333333333,4.75,5.25,2,0,0,0,0,1,0,0,0
11,1,1.6,1,5,2,3,5,2,3,4,5,4,3,4,4,2,2,4,3,3,3,2,2,2,4,4,4,4,1,2,1,10,14,3,2,1,2,6,5,3,5,5,7,5,5,3,5,5,5,6,5,5,7,4,5,5,7,5,5,4,6,4,7,4,6,3,7,500,230,170,230,230,170,170,0,0,0,2,180.129402054054,4,5,5,5,5,5,4,5,2,4,,,,,,,,3,3,4.5,2.75,5.13333333333333,4.75,4.75,1,0,0,0,0,0,0,0,1
11,1,1.6,3,3,4,2,5,2,2,2,4,2,2,5,2,4,1,5,3,4,2,3,3,2,4,3,2,3,2,2,1,10,14,3,1,2,2,5,4,2,3,3,1,2,2,3,6,3,4,4,2,5,2,2,7,3,1,2,2,1,3,3,4,3,3,2,2,500,500,370,500,500,370,370,1,0,0,1,340.376193466299,6,6,4,6,5,5,5,4,2,4,,,,,,,,2.5,1.75,4.75,3,2.96666666666667,5.5,4.75,2,0,0,0,0,1,0,0,0
16,1,1.6,2,2,3,4,4,3,2,4,3,2,4,2,4,3,2,4,3,4,3,2,3,2,3,4,3,3,1,2,1,16,16,3,2,1,1,5,7,3,6,7,5,3,6,6,6,4,4,6,5,6,3,3,4,5,4,5,5,5,3,3,6,6,7,2,3,500,500,270,500,500,270,270,1,0,0,1,260.252797760176,5,5,6,5,5,5,5,5,2,1,,,,,,,,2.75,3.5,3.25,2.5,4.76666666666667,5.25,5,2,0,0,0,0,1,0,0,0
0,2,1.6,2,3,4,5,1,4,4,5,1,4,1,1,1,3,2,1,4,4,4,4,4,4,4,4,4,4,1,4,2,16,16,0,2,1,1,7,6,4,7,7,7,7,2,7,4,6,7,6,7,7,7,6,6,6,7,6,7,5,7,6,7,7,7,7,1,500,400,400,500,400,400,400,0,0,0,2,364.41321217812,4,5,2,4,6,6,7,6,2,0,,,,,,,,2.5,3.25,1,3.75,6.1,3.75,6.25,2,0,0,0,0,1,0,0,0
1,1,1.6,4,2,2,4,3,4,4,5,3,4,4,2,1,5,4,2,4,4,2,2,1,1,2,4,4,4,3,4,2,10,14,2,2,1,2,4,5,7,7,6,4,4,5,5,5,7,7,4,6,5,5,5,7,5,6,6,5,4,5,4,5,4,3,7,5,600,600,100,600,600,100,100,600,0,0,1,124.043025059752,4,5,4,6,6,5,6,6,2,0,,,,,,,,2.75,4.25,2.5,3.75,5.23333333333333,4.75,5.75,1,0,0,0,1,0,0,0,0
10,1,1.6,5,1,3,4,4,4,3,3,3,2,4,3,4,2,2,4,4,4,3,4,1,3,4,4,4,3,3,3,2,16,16,0,2,1,2,7,4,6,6,4,6,7,4,5,6,7,7,4,3,4,7,7,7,7,7,5,5,2,5,7,7,4,7,7,7,600,500,600,500,500,500,500,1,1,1,0,444.536607884242,4,6,2,5,6,6,7,6,2,0,,,,,,,,3.5,3.25,3.5,2.5,5.7,4.25,6.25,1,0,0,0,0,1,0,0,0
11,1,1.6,2,4,2,3,4,1,4,4,4,4,3,2,2,2,1,4,3,4,4,3,2,2,4,4,3,4,2,2,2,14,10,3,1,1,2,6,6,4,7,7,6,2,6,4,3,5,6,3,6,5,6,4,6,6,5,7,6,2,7,4,5,5,3,5,5,500,330,130,170,330,130,130,0,0,0,2,148.080043771593,6,5,5,4,5,5,6,4,2,4,,,,,,,,2.25,2.75,3.5,3,5.06666666666667,5,5,2,0,0,0,0,1,0,0,0
11,1,1.6,2,4,2,4,4,3,5,4,2,2,5,2,3,4,4,4,4,3,3,3,1,2,4,4,3,3,3,3,2,16,16,1,2,1,2,6,7,5,7,7,6,6,7,5,5,7,5,7,5,7,6,6,6,6,7,7,7,7,6,6,7,7,6,7,7,600,600,300,370,600,300,300,600,0,0,1,284.289816471997,5,4,2,4,7,6,5,6,2,0,,,,,,,,3,4.25,3,3.25,6.33333333333333,3.75,6,2,0,0,0,0,0,0,1,0
15,1,1.6,2,4,1,3,3,2,2,3,2,2,3,2,4,4,2,2,4,4,3,4,3,3,4,4,3,3,3,3,2,16,16,4,1,1,2,7,4,5,4,3,4,2,3,5,5,6,6,6,5,6,6,5,5,4,4,4,5,5,5,4,5,5,5,4,6,400,270,100,270,270,100,100,0,0,0,2,124.043025059752,5,6,5,6,4,4,4,3,2,4,,,,,,,,3,2.75,2.25,2.25,4.76666666666667,5.5,3.75,2,0,0,1,0,0,0,0,0
9,1,1.5,2,4,2,4,4,2,3,3,3,4,4,4,4,4,3,5,4,4,2,2,3,3,4,3,3,4,3,2,1,16,16,2,2,1,1,6,6,3,6,5,5,5,6,5,4,5,4,6,6,5,3,2,5,6,4,5,5,6,6,2,5,5,4,2,5,500,370,100,370,370,100,100,0,0,0,2,124.043025059752,6,6,6,6,5,4,5,4,2,2,,,,,,,,3,3.5,4,3.25,4.73333333333333,6,4.5,2,0,0,0,0,1,0,0,0
10,1,1.5,4,2,2,3,2,5,2,4,2,2,3,2,4,3,2,2,3,3,4,4,3,3,3,3,2,3,1,3,1,4,8,3,2,2,2,5,4,6,6,5,7,6,5,4,6,5,5,4,5,5,5,6,6,5,5,4,6,2,3,5,6,5,5,6,5,400,330,100,330,330,100,100,0,0,0,2,124.043025059752,5,5,5,5,4,5,4,5,2,3,,,,,,,,3.75,3,2,2.25,5.06666666666667,5,4.5,2,0,0,1,0,0,0,0,0
11,1,1.5,3,2,4,4,5,4,2,4,4,2,5,4,4,4,4,4,3,3,2,3,1,1,3,4,4,4,3,2,2,10,14,0,2,2,2,7,4,2,5,5,7,7,7,1,6,6,6,7,7,6,7,7,6,7,5,7,7,2,6,5,7,3,5,1,7,500,500,370,500,500,370,370,1,0,0,1,340.376193466299,4,4,3,3,5,5,2,2,2,0,,,,,,,,3.25,4.25,4.25,3,5.5,3.5,3.5,1,0,0,0,0,1,0,0,0
11,1,1.5,2,3,1,3,1,3,2,3,4,2,5,2,3,2,1,1,4,4,4,3,3,2,4,4,3,3,2,3,2,8,4,4,1,1,2,5,4,5,3,3,3,5,5,5,3,5,5,3,4,5,2,5,6,5,5,3,4,3,3,3,4,5,2,4,3,600,600,100,600,600,100,100,600,0,0,2,124.043025059752,6,6,6,6,6,6,5,5,2,4,,,,,,,,2.75,3,2,1.75,4,6,5.5,2,0,0,0,1,0,0,0,0
1,1,1.4,4,1,3,4,2,4,2,4,3,3,4,2,5,2,2,3,4,4,4,2,3,3,4,4,4,4,4,3,1,2,2,5,1,1,1,7,5,4,6,6,7,7,7,7,7,4,5,5,6,6,7,5,7,5,7,6,5,5,7,4,7,7,7,7,7,200,600,100,600,200,100,100,0,0,0,2,124.043025059752,7,5,7,4,6,6,5,4,2,3,,,,,,,,3.5,3.5,2.5,2.5,6.06666666666667,5.75,5.25,2,0,0,0,0,1,0,0,0
11,1,1.4,3,4,2,5,1,3,2,4,4,1,5,1,4,3,1,1,4,4,3,3,4,4,4,4,4,4,4,4,1,16,16,5,2,1,2,7,7,6,7,7,6,7,7,6,7,7,7,7,6,7,6,5,7,7,7,7,6,2,5,3,7,7,6,7,7,600,600,100,600,600,100,100,600,0,0,2,124.043025059752,7,7,7,7,6,6,6,6,2,4,,,,,,,,3.5,3.75,1.75,2,6.33333333333333,7,6,2,0,0,0,0,1,0,0,0
11,1,1.4,2,3,4,2,2,4,4,5,2,3,3,2,4,2,3,4,4,4,4,4,4,4,4,2,4,4,3,4,1,16,16,7,2,1,2,6,7,5,7,7,4,6,7,6,6,6,6,4,6,6,4,5,6,7,6,7,6,7,6,7,6,7,5,6,7,600,600,270,500,600,270,270,600,0,0,2,260.252797760176,7,7,7,7,7,7,7,7,2,4,,,,,,,,3.25,3.25,2.5,3.25,6.03333333333333,7,7,2,0,0,0,1,0,0,0,0
11,1,1.4,2,2,2,3,5,4,2,3,4,2,5,2,3,3,2,4,3,4,2,1,3,3,3,3,3,3,1,4,1,16,16,5,2,1,2,7,5,7,6,6,7,7,5,6,5,4,7,4,5,7,7,5,6,4,6,6,7,4,5,4,7,6,5,7,7,300,600,100,600,300,100,100,0,0,0,2,124.043025059752,6,6,5,6,6,6,6,6,2,4,,,,,,,,2.75,3.25,3.75,2.25,5.8,5.75,6,2,0,0,0,0,1,0,0,0
0,2,1.4,2,5,2,5,5,3,1,3,5,2,4,2,2,1,3,4,4,3,3,4,1,1,4,3,3,3,1,3,2,16,16,0,2,2,2,7,7,4,7,7,7,7,4,6,5,7,7,5,7,7,5,6,5,1,7,7,7,1,5,7,7,6,7,5,5,600,600,500,600,600,500,500,600,1,1,0,444.536607884242,4,4,2,3,5,5,4,5,2,0,,,,,,,,3,3.75,4,1.5,5.83333333333333,3.25,4.75,2,0,0,0,0,1,0,0,0
16,1,1.4,4,1,5,5,4,4,5,4,5,4,5,1,4,5,5,4,4,4,4,4,1,1,4,4,3,2,3,2,2,4,8,0,2,2,1,6,6,4,5,7,6,1,5,2,7,6,5,6,6,5,6,4,7,6,6,6,6,2,5,3,7,5,5,4,5,600,600,500,600,600,500,500,600,1,1,0,444.536607884242,4,4,2,4,5,5,4,4,2,0,,,,,,,,3.25,4.75,3.5,4.75,5.13333333333333,3.5,4.5,1,0,0,1,0,0,0,0,0
10,1,1.3,1,1,4,2,2,2,2,3,4,3,2,2,3,3,4,1,4,4,4,4,3,3,4,3,2,4,2,2,1,16,16,5,2,1,1,6,6,5,6,4,5,7,5,4,6,4,5,2,6,6,6,6,6,7,5,6,6,6,2,4,7,7,5,4,5,100,600,100,600,100,100,100,0,0,0,2,124.043025059752,7,7,7,6,6,6,6,7,2,2,,,,,,,,1.75,2.75,2.25,3,5.3,6.75,6.25,2,0,0,0,0,1,0,0,0
11,1,1.3,2,5,1,5,4,2,2,5,4,5,4,2,5,4,1,5,4,4,4,4,4,3,4,2,2,4,3,4,1,8,4,5,2,1,2,7,5,6,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,6,7,7,7,5,7,7,7,7,4,3,7,500,130,100,130,130,100,100,0,0,0,2,124.043025059752,6,7,6,7,6,6,5,4,2,4,,,,,,,,3.5,3.75,3.75,3,6.46666666666667,6.5,5.25,2,0,0,0,0,1,0,0,0
11,1,1.3,2,4,3,4,3,3,4,4,2,4,5,4,3,3,2,3,4,4,2,2,2,2,3,3,3,2,3,4,1,16,16,3,2,1,2,7,4,4,5,5,6,5,4,5,4,5,6,4,5,5,7,5,3,4,5,5,7,3,6,5,5,4,5,7,5,300,100,100,100,100,100,100,0,0,0,2,124.043025059752,6,5,4,5,6,6,5,5,2,4,,,,,,,,3,3.75,3,3.5,5,5,5.5,2,0,0,0,0,1,0,0,0
11,1,1.3,2,4,3,4,4,4,3,4,2,3,5,3,3,3,4,2,4,4,4,4,2,3,4,4,4,4,2,4,1,16,16,3,2,1,2,7,6,5,7,7,7,7,6,6,5,7,6,7,6,7,6,6,5,6,6,7,7,5,7,3,7,6,6,7,7,270,600,170,600,270,170,170,0,0,0,2,180.129402054054,5,6,4,5,6,6,6,3,2,4,,,,,,,,3.25,4.25,2.75,3,6.23333333333333,5,5.25,2,0,0,1,0,0,0,0,0
11,1,1.3,1,5,3,4,2,3,5,4,3,5,4,2,3,4,2,2,4,4,3,3,1,3,4,4,4,4,2,3,1,16,16,1,2,2,2,4,7,4,6,5,5,1,6,5,3,4,4,5,6,6,2,4,4,3,4,6,4,5,5,3,5,7,2,5,5,370,100,100,100,100,100,100,0,0,0,2,124.043025059752,6,5,4,5,6,6,6,6,2,0,,,,,,,,3,3.5,2.25,4.25,4.5,5,6,2,0,0,0,0,0,0,0,1
0,2,1.3,2,3,1,4,3,2,2,2,5,2,1,4,3,4,1,2,3,3,4,4,2,1,4,3,3,3,2,2,2,14,10,3,2,1,1,4,5,6,6,6,3,7,5,3,4,4,4,5,5,6,6,2,5,5,4,5,4,3,6,1,6,5,7,3,5,300,100,100,100,100,100,100,0,0,0,2,124.043025059752,5,5,2,4,5,5,2,5,2,0,,,,,,,,2.5,2,3.5,2.25,4.66666666666667,4,4.25,2,0,0,0,0,1,0,0,0
1,1,1.3,2,5,1,4,3,2,1,4,4,1,4,3,2,4,4,3,3,3,3,4,2,2,3,4,4,3,2,4,2,16,16,3,2,1,1,6,6,4,6,5,6,5,6,6,3,5,5,6,5,6,6,6,6,5,6,7,6,5,5,5,6,6,6,6,6,270,600,100,600,270,100,100,0,0,0,2,124.043025059752,7,6,5,6,6,6,7,6,2,0,,,,,,,,2.75,4,3.25,1.75,5.56666666666667,6,6.25,2,0,0,0,0,1,0,0,0
11,1,1.2,4,2,3,4,5,5,4,5,2,4,5,2,5,5,4,4,3,3,2,4,1,1,3,4,3,2,3,2,2,10,14,0,2,1,2,6,5,6,6,5,6,5,4,5,5,6,6,7,6,5,5,6,6,5,6,6,6,5,4,5,6,4,5,4,6,600,500,600,500,500,500,500,1,1,1,0,444.536607884242,3,2,1,2,5,6,4,5,2,0,,,,,,,,4,4.5,3.25,4,5.4,2,5,1,0,0,0,0,1,0,0,0
0,2,1.1,5,2,1,3,4,5,5,4,2,3,4,3,4,5,2,4,4,4,4,4,1,2,4,4,4,4,1,3,1,16,16,8,2,2,2,7,7,6,7,7,7,1,7,7,7,7,5,7,5,7,1,1,7,7,7,7,7,7,7,1,7,7,7,4,4,230,600,100,600,230,100,100,0,0,0,2,124.043025059752,5,6,5,4,3,4,4,4,2,0,,,,,,,,4,3.25,3.25,3.5,5.83333333333333,5,3.75,2,0,0,1,0,0,0,0,0
0,2,1.1,5,2,1,4,3,4,5,4,1,4,5,1,5,2,3,1,4,4,4,2,3,3,4,4,3,3,2,4,1,16,16,3,2,1,1,7,7,6,7,7,5,7,7,7,7,6,7,7,7,7,7,5,7,5,7,7,7,7,5,3,7,7,5,5,3,100,600,370,600,100,370,100,0,0,0,2,124.043025059752,4,5,5,5,7,7,7,7,2,2,,,,,,,,4,4,1.5,3,6.26666666666667,4.75,7,2,0,0,0,0,1,0,0,0
6,1,1.1,5,2,3,4,3,4,4,2,2,4,3,2,5,3,3,2,4,4,4,4,3,3,2,3,3,2,3,2,1,16,16,3,2,1,1,6,6,6,5,6,4,5,6,5,7,5,6,6,6,5,6,5,6,5,4,5,5,4,4,5,6,5,7,6,5,270,170,100,170,170,100,100,0,0,0,2,124.043025059752,6,7,5,5,5,6,5,6,2,3,,,,,,,,4,3,2.25,3.5,5.4,5.75,5.5,2,0,0,0,0,1,0,0,0
11,1,1.1,1,5,2,4,4,1,4,3,4,2,4,4,3,2,4,5,3,3,2,2,2,2,3,3,3,3,3,2,1,16,16,3,2,2,2,5,2,5,6,2,5,5,4,4,5,4,5,7,5,6,5,4,6,3,4,4,5,5,5,4,6,4,3,5,5,500,200,130,200,200,130,130,0,0,0,2,148.080043771593,4,4,4,4,4,5,5,4,2,4,,,,,,,,2.5,3.75,4.25,2.5,4.6,4,4.5,1,0,0,0,0,1,0,0,0
11,1,1.1,1,1,5,4,5,2,2,3,5,4,4,4,2,2,2,3,4,4,3,4,2,2,4,4,3,3,2,2,1,16,16,3,2,1,2,5,5,6,6,5,7,7,5,4,4,5,4,5,3,5,4,6,7,5,4,5,7,4,4,6,7,5,4,2,6,300,130,130,130,130,130,130,0,0,0,2,148.080043771593,5,5,5,6,5,5,6,6,2,4,,,,,,,,1.5,3.25,4.25,3.25,5.06666666666667,5.25,5.5,2,0,0,1,0,0,0,0,0
11,1,1.1,2,3,4,4,4,2,5,5,4,4,4,5,2,1,4,4,4,4,3,3,1,2,3,4,4,3,3,2,1,8,4,3,2,2,2,6,5,6,5,4,6,5,5,3,2,6,5,7,5,7,6,4,6,5,6,6,7,6,6,5,6,5,6,3,6,500,500,270,500,500,270,270,1,0,0,1,260.252797760176,5,5,4,5,4,3,3,3,2,4,,,,,,,,2.25,4.25,4.25,3.5,5.33333333333333,4.75,3.25,1,0,0,1,0,0,0,0,0
11,1,1.1,2,3,2,4,3,2,2,3,3,2,4,3,4,1,2,2,4,4,3,2,2,2,4,4,3,3,4,4,1,16,16,3,2,1,2,2,5,5,5,4,5,4,5,5,5,4,7,5,3,5,3,1,5,5,5,5,4,2,6,1,6,5,2,5,5,600,600,170,270,600,170,170,600,0,0,1,180.129402054054,5,5,4,4,5,5,5,4,2,4,,,,,,,,2.75,3.25,2.75,1.75,4.3,4.5,4.75,2,0,0,0,0,0,0,1,0
6,1,1.1,5,1,1,4,2,4,3,4,2,3,5,1,4,4,4,2,3,4,4,2,4,4,4,4,2,3,3,4,2,16,16,3,1,1,2,6,7,5,6,6,6,5,7,7,5,6,6,6,5,6,4,4,5,6,4,6,6,5,6,6,7,7,4,4,6,600,600,100,600,600,100,100,600,0,0,1,124.043025059752,7,6,7,7,6,5,5,5,2,5,,,,,,,,3.5,4.25,1.75,2.75,5.63333333333333,6.75,5.25,2,0,0,0,0,1,0,0,0
11,1,1,2,1,3,5,4,3,4,4,1,4,5,1,4,2,5,5,4,4,1,1,3,4,4,3,3,4,3,4,1,16,16,3,1,1,2,6,4,7,6,4,7,7,3,7,5,7,7,5,6,3,5,7,6,7,5,6,7,5,1,7,5,3,6,7,7,170,170,100,170,170,100,100,0,0,0,2,124.043025059752,7,7,7,7,6,6,6,6,2,4,,,,,,,,2.5,4.75,2.75,3.25,5.6,7,6,2,0,0,0,0,1,0,0,0
11,1,1,2,4,3,3,2,4,3,4,3,4,2,2,4,3,2,2,4,4,3,2,3,1,4,3,3,2,3,3,1,16,16,3,2,1,2,6,5,4,4,5,4,5,7,5,5,4,5,5,4,5,5,4,5,4,5,6,5,4,4,4,5,3,4,4,6,200,100,100,100,100,100,100,0,0,0,2,124.043025059752,5,6,5,5,5,5,4,5,2,4,,,,,,,,3.5,2.75,2.25,3.25,4.7,5.25,4.75,2,0,0,0,0,1,0,0,0
11,1,1,5,1,3,4,3,5,4,4,3,1,4,2,5,2,4,2,4,4,3,2,3,2,3,4,3,3,3,3,1,16,16,3,2,1,2,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,6,5,4,4,5,6,5,5,7,500,100,100,100,100,100,100,0,0,0,2,124.043025059752,6,6,5,6,6,5,5,6,2,4,,,,,,,,4,4,2.5,2.5,5.06666666666667,5.75,5.5,2,0,0,0,0,1,0,0,0
14,1,1,2,2,3,4,4,2,5,4,2,3,4,2,4,2,5,2,3,4,2,2,4,3,4,4,3,3,4,4,2,16,16,1,2,1,1,5,7,6,7,7,6,5,7,6,5,6,5,7,6,7,5,5,4,6,6,7,7,7,5,4,5,7,6,5,7,600,600,100,600,600,100,100,600,0,0,1,124.043025059752,5,6,6,4,5,5,5,4,2,2,,,,,,,,2.5,4.25,2.5,3.25,5.93333333333333,5.25,4.75,2,0,0,0,0,1,0,0,0
11,1,1.2,4,2,2,2,4,4,2,4,4,2,4,4,4,2,2,2,4,4,3,2,4,3,3,4,4,4,2,4,1,16,16,3,2,1,2,7,5,5,6,5,6,7,5,6,6,5,6,6,4,7,7,6,6,3,5,6,3,4,5,5,7,5,7,7,7,,,,500,,500,500,,1,1,,500,6,7,6,6,5,5,6,2,,,3,2,2,3,2,,1,3.5,3,3.5,2,5.63333333333333,6.25,4.5,2,,,,,,,,
